LOCATION,DAY,ORDER_NUMBER,FLAVOR,SCOOPS
Myrnam,25,15,chocolate,2
Olds,20,66,chocolate,2
Athabasca,14,1,strawberry,1
Vermilion,21,89,vanilla,2
Mundare,29,61,strawberry,1
Lamont,12,130,chocolate,1
Mannville,26,34,chocolate,2
Ryley,1,125,vanilla,2
Bruderheim,15,73,chocolate,1
Lomond,20,122,chocolate,1
Lamont,21,2,strawberry,1
Delburne,14,5,strawberry,2
Bruderheim,17,67,strawberry,2
Girouxville,12,151,vanilla,2
Delburne,3,13,vanilla,2
Lomond,22,141,strawberry,2
Olds,23,54,vanilla,3
Lomond,19,33,vanilla,2
Athabasca,5,9,chocolate,2
Bashaw,1,107,vanilla,2
Mundare,21,136,banana,2
Chestermere,21,132,strawberry,2
Cardston,17,99,chocolate,3
Chestermere,16,34,chocolate,2
Athabasca,28,131,vanilla,2
Mannville,11,88,strawberry,1
Bashaw,15,61,banana,1
Bruderheim,19,104,vanilla,2
Eckville,19,8,banana,2
Eckville,17,177,chocolate,2
Mundare,22,168,vanilla,2
Lamont,1,82,chocolate,3
Lomond,9,93,banana,2
Eckville,2,121,chocolate,1
Bashaw,27,31,banana,1
Myrnam,17,60,vanilla,2
Valleyview,4,118,vanilla,3
Eckville,6,47,strawberry,1
Mundare,13,66,strawberry,3
Lamont,22,5,strawberry,1
Olds,22,80,strawberry,2
Falher,26,62,chocolate,3
Mannville,4,7,vanilla,1
Mannville,24,83,chocolate,3
Chestermere,18,178,vanilla,2
Lacombe,24,20,strawberry,1
Magrath,3,69,vanilla,2
Cardston,26,42,strawberry,2
Falher,5,153,vanilla,1
Lamont,18,53,vanilla,2
Delburne,14,40,strawberry,1
Lomond,16,80,vanilla,1
Eckville,19,102,strawberry,2
Ryley,18,97,banana,1
Lacombe,28,47,chocolate,3
Girouxville,14,65,strawberry,3
Olds,2,4,strawberry,2
Mannville,19,26,banana,2
Bashaw,8,182,chocolate,1
Mannville,22,14,strawberry,2
Valleyview,20,21,banana,1
Olds,14,54,strawberry,1
Cardston,14,31,strawberry,2
Athabasca,14,121,chocolate,2
Bashaw,12,88,strawberry,1
Mannville,24,38,chocolate,2
Olds,27,146,chocolate,2
Delburne,27,52,vanilla,3
Eckville,29,131,vanilla,1
Myrnam,23,36,banana,3
Vermilion,7,111,vanilla,1
Lomond,23,114,banana,1
Lamont,20,8,strawberry,1
Mannville,26,31,banana,2
Ryley,30,74,banana,3
Lomond,12,18,chocolate,2
Girouxville,2,37,banana,3
Falher,15,126,strawberry,2
Mannville,7,205,vanilla,1
Lacombe,19,44,chocolate,2
Cardston,15,52,chocolate,2
Olds,23,86,vanilla,2
Valleyview,4,35,chocolate,2
Bruderheim,12,18,strawberry,1
Mundare,2,136,chocolate,1
Lamont,22,96,strawberry,1
Athabasca,1,173,strawberry,2
Cardston,20,128,strawberry,3
Olds,1,97,chocolate,1
Lomond,30,56,vanilla,1
Bashaw,19,4,vanilla,1
Valleyview,24,122,strawberry,1
Eckville,17,104,strawberry,2
Athabasca,7,74,strawberry,2
Lamont,27,125,chocolate,2
Mannville,5,251,vanilla,2
Chestermere,10,33,chocolate,2
Ryley,25,145,chocolate,2
Chestermere,17,41,chocolate,2
Vermilion,24,157,strawberry,1
Athabasca,27,24,vanilla,1
Valleyview,15,194,strawberry,2
Chestermere,2,117,strawberry,2
Delburne,16,68,strawberry,3
Mundare,11,236,strawberry,2
Magrath,21,116,strawberry,2
Ryley,19,65,banana,2
Chestermere,15,1,vanilla,2
Bashaw,19,101,strawberry,2
Lamont,3,22,strawberry,2
Vermilion,20,65,strawberry,1
Lacombe,8,95,strawberry,2
Lomond,2,82,chocolate,2
Mannville,27,99,chocolate,2
Girouxville,8,227,vanilla,2
Bashaw,10,5,chocolate,2
Lacombe,2,73,chocolate,1
Lacombe,17,35,strawberry,2
Bruderheim,15,28,chocolate,3
Falher,22,92,strawberry,2
Valleyview,11,123,banana,2
Lamont,7,15,banana,2
Mundare,8,194,vanilla,1
Bashaw,30,82,banana,3
Vermilion,10,100,chocolate,2
Myrnam,21,1,vanilla,3
Lacombe,2,130,vanilla,1
Girouxville,26,79,vanilla,2
Girouxville,28,102,vanilla,1
Lacombe,7,29,banana,2
Falher,2,56,chocolate,2
Delburne,5,6,banana,1
Bashaw,1,43,strawberry,2
Mundare,18,153,vanilla,2
Mannville,1,9,strawberry,3
Girouxville,1,158,chocolate,2
Olds,30,56,banana,1
Lamont,9,25,strawberry,2
Olds,28,3,strawberry,2
Girouxville,8,49,chocolate,2
Mundare,5,39,vanilla,3
Mannville,12,16,banana,3
Olds,18,9,vanilla,2
Bruderheim,29,33,vanilla,2
Eckville,24,70,chocolate,1
Myrnam,9,65,vanilla,2
Mundare,8,64,vanilla,2
Bashaw,13,12,chocolate,2
Lamont,24,109,strawberry,1
Bruderheim,28,12,chocolate,1
Magrath,18,50,vanilla,3
Bashaw,15,159,strawberry,2
Olds,3,110,chocolate,2
Lamont,26,16,strawberry,1
Lomond,26,72,chocolate,1
Olds,8,111,vanilla,2
Olds,30,84,vanilla,1
Athabasca,1,163,vanilla,2
Athabasca,29,141,strawberry,2
Bruderheim,11,117,banana,1
Mannville,20,19,vanilla,2
Magrath,25,128,chocolate,1
Vermilion,9,77,banana,2
Mundare,13,51,strawberry,1
Chestermere,2,65,strawberry,1
Lacombe,8,61,chocolate,2
Magrath,7,51,vanilla,1
Athabasca,28,62,chocolate,2
Mundare,8,27,chocolate,3
Olds,14,25,strawberry,2
Mundare,17,23,vanilla,1
Lomond,17,63,banana,1
Mannville,10,10,vanilla,1
Chestermere,29,55,strawberry,1
Lomond,23,180,strawberry,1
Cardston,28,128,strawberry,2
Ryley,18,175,chocolate,1
Mundare,15,54,vanilla,2
Cardston,16,139,strawberry,2
Olds,16,24,chocolate,2
Magrath,20,89,chocolate,1
Eckville,15,54,chocolate,2
Ryley,23,61,strawberry,2
Magrath,15,19,chocolate,2
Mannville,24,67,vanilla,1
Eckville,25,114,chocolate,2
Athabasca,26,48,vanilla,2
Eckville,27,2,strawberry,1
Girouxville,30,84,banana,1
Mannville,5,14,chocolate,2
Bruderheim,11,136,vanilla,2
Ryley,18,62,strawberry,2
Magrath,1,78,strawberry,3
Athabasca,30,181,banana,2
Vermilion,29,60,chocolate,1
Olds,10,55,vanilla,2
Delburne,20,73,strawberry,3
Eckville,25,146,vanilla,2
Chestermere,22,72,vanilla,1
Girouxville,30,59,strawberry,2
Girouxville,1,15,chocolate,2
Cardston,17,76,strawberry,1
Bruderheim,20,66,vanilla,1
Bashaw,20,3,strawberry,1
Valleyview,17,14,banana,2
Bashaw,12,28,banana,1
Mannville,25,149,banana,2
Mundare,21,152,vanilla,1
Girouxville,7,170,vanilla,1
Olds,18,130,strawberry,2
Ryley,10,25,vanilla,2
Lacombe,18,54,strawberry,3
Mannville,8,146,chocolate,1
Mannville,9,122,chocolate,1
Bruderheim,22,79,vanilla,2
Olds,11,29,chocolate,2
Athabasca,9,111,chocolate,2
Athabasca,19,96,chocolate,3
Olds,7,105,chocolate,1
Eckville,3,80,strawberry,2
Athabasca,20,3,strawberry,2
Valleyview,17,52,chocolate,2
Athabasca,29,34,chocolate,2
Ryley,15,38,chocolate,2
Bashaw,5,195,strawberry,1
Mundare,1,101,strawberry,2
Athabasca,3,70,chocolate,1
Myrnam,27,92,vanilla,1
Lomond,10,42,strawberry,2
Mannville,24,81,chocolate,1
Lacombe,9,140,strawberry,3
Lacombe,23,43,chocolate,2
Lomond,24,8,vanilla,3
Bashaw,18,114,strawberry,2
Eckville,7,43,chocolate,2
Falher,15,107,chocolate,2
Athabasca,5,66,chocolate,2
Cardston,14,29,strawberry,1
Vermilion,18,149,chocolate,1
Valleyview,26,157,vanilla,1
Eckville,17,103,banana,1
Girouxville,17,132,vanilla,2
Falher,10,24,vanilla,1
Delburne,15,100,strawberry,2
Lacombe,4,8,chocolate,1
Bashaw,2,116,strawberry,3
Valleyview,15,133,banana,1
Delburne,20,100,strawberry,1
Chestermere,26,41,strawberry,1
Athabasca,4,72,chocolate,2
Magrath,4,74,vanilla,1
Athabasca,21,67,strawberry,2
Mundare,28,138,vanilla,2
Valleyview,12,117,chocolate,3
Ryley,18,115,strawberry,2
Lomond,6,80,chocolate,2
Magrath,13,113,vanilla,2
Cardston,1,33,vanilla,2
Falher,30,114,vanilla,1
Vermilion,25,94,strawberry,2
Bashaw,18,55,strawberry,1
Mundare,5,116,chocolate,1
Cardston,25,110,banana,2
Chestermere,23,95,strawberry,1
Chestermere,23,4,vanilla,2
Valleyview,7,10,vanilla,2
Cardston,14,101,chocolate,1
Chestermere,16,131,chocolate,2
Cardston,22,2,chocolate,3
Bashaw,28,19,chocolate,2
Cardston,27,137,vanilla,2
Valleyview,24,33,strawberry,1
Olds,25,62,chocolate,1
Bashaw,27,193,vanilla,3
Olds,9,101,strawberry,2
Magrath,25,147,vanilla,1
Mannville,3,53,strawberry,2
Valleyview,10,101,vanilla,2
Mannville,20,88,chocolate,2
Delburne,19,33,banana,1
Valleyview,4,40,strawberry,1
Lomond,16,26,banana,1
Chestermere,18,68,chocolate,1
Ryley,18,99,strawberry,2
Mannville,25,65,chocolate,2
Falher,15,27,strawberry,3
Magrath,15,89,strawberry,2
Girouxville,23,78,chocolate,2
Mundare,21,220,vanilla,2
Bruderheim,29,126,vanilla,3
Mannville,1,221,banana,2
Bashaw,8,189,chocolate,2
Magrath,13,115,banana,2
Mannville,3,188,strawberry,2
Myrnam,29,87,banana,1
Athabasca,25,119,chocolate,3
Girouxville,26,8,chocolate,2
Lomond,13,48,banana,1
Bashaw,18,37,vanilla,2
Cardston,11,89,strawberry,2
Delburne,14,27,vanilla,2
Lomond,30,69,banana,1
Mundare,20,2,chocolate,2
Mundare,21,86,banana,1
Chestermere,19,70,chocolate,2
Bashaw,16,39,strawberry,2
Myrnam,18,76,chocolate,1
Mundare,28,137,strawberry,3
Chestermere,2,60,banana,2
Myrnam,4,80,vanilla,3
Lamont,13,105,banana,1
Ryley,29,50,strawberry,2
Mannville,1,187,banana,2
Vermilion,22,37,strawberry,1
Delburne,16,85,chocolate,2
Lacombe,12,35,strawberry,2
Mannville,9,25,vanilla,1
Vermilion,7,68,vanilla,2
Lomond,28,71,chocolate,1
Mundare,22,29,strawberry,3
Cardston,21,36,chocolate,2
Mannville,23,134,banana,2
Lamont,29,22,strawberry,3
Eckville,17,147,vanilla,1
Cardston,11,76,strawberry,1
Vermilion,25,19,chocolate,3
Valleyview,23,10,chocolate,1
Vermilion,7,67,strawberry,1
Girouxville,1,98,vanilla,3
Lamont,16,84,chocolate,3
Athabasca,8,126,strawberry,2
Myrnam,12,131,chocolate,3
Olds,29,61,chocolate,2
Girouxville,25,196,chocolate,1
Eckville,18,29,strawberry,1
Mannville,3,28,chocolate,3
Mundare,2,115,vanilla,3
Chestermere,6,42,chocolate,1
Bruderheim,2,42,chocolate,1
Lomond,11,41,chocolate,2
Athabasca,14,51,vanilla,1
Mundare,14,80,vanilla,2
Bashaw,3,81,vanilla,2
Myrnam,14,96,banana,2
Ryley,23,26,strawberry,1
Myrnam,5,136,chocolate,1
Mundare,20,57,vanilla,1
Lomond,15,2,banana,1
Athabasca,2,40,strawberry,2
Delburne,15,35,banana,2
Athabasca,20,162,chocolate,2
Olds,29,40,chocolate,1
Girouxville,12,91,vanilla,3
Athabasca,27,11,banana,1
Cardston,18,100,vanilla,2
Mundare,16,231,banana,2
Bashaw,22,9,chocolate,2
Lomond,12,22,vanilla,1
Delburne,18,102,chocolate,2
Vermilion,4,19,chocolate,1
Mundare,17,68,chocolate,2
Magrath,15,14,banana,1
Vermilion,24,87,banana,2
Bashaw,14,167,strawberry,2
Lomond,29,30,vanilla,3
Cardston,13,43,chocolate,1
Delburne,16,32,chocolate,3
Chestermere,22,47,vanilla,1
Cardston,8,122,chocolate,2
Bashaw,1,135,chocolate,1
Valleyview,1,67,strawberry,3
Lacombe,17,125,chocolate,2
Girouxville,16,81,chocolate,1
Ryley,28,12,chocolate,2
Bashaw,2,88,vanilla,1
Magrath,8,17,banana,1
Vermilion,12,99,strawberry,3
Mannville,18,11,chocolate,1
Eckville,4,103,vanilla,3
Chestermere,16,168,chocolate,2
Mannville,24,149,banana,2
Eckville,7,97,vanilla,2
Mundare,25,198,vanilla,3
Magrath,10,33,chocolate,3
Lamont,2,4,banana,2
Lomond,9,79,chocolate,2
Vermilion,14,62,banana,3
Lomond,23,172,vanilla,1
Lomond,23,96,vanilla,2
Bashaw,20,189,chocolate,2
Mannville,17,74,banana,3
Bashaw,4,25,chocolate,2
Lomond,26,139,chocolate,2
Ryley,12,70,vanilla,2
Lacombe,29,62,banana,1
Magrath,9,160,vanilla,2
Mannville,17,41,strawberry,1
Chestermere,16,37,strawberry,1
Olds,14,49,chocolate,1
Eckville,28,48,strawberry,2
Vermilion,12,1,banana,2
Athabasca,28,84,chocolate,2
Mannville,25,51,vanilla,2
Chestermere,24,64,vanilla,2
Bruderheim,19,29,vanilla,2
Cardston,5,143,vanilla,2
Vermilion,24,85,vanilla,2
Bashaw,1,78,vanilla,3
Lomond,22,138,strawberry,2
Bashaw,7,98,strawberry,2
Athabasca,23,28,strawberry,3
Lamont,10,82,strawberry,1
Chestermere,15,39,chocolate,2
Mannville,6,171,banana,2
Bashaw,30,108,chocolate,1
Mannville,18,40,banana,3
Magrath,29,73,vanilla,2
Girouxville,3,218,strawberry,2
Mundare,21,220,chocolate,2
Myrnam,17,151,chocolate,1
Lomond,18,59,vanilla,2
Girouxville,29,115,banana,2
Bruderheim,8,15,strawberry,2
Myrnam,20,43,banana,1
Mannville,19,43,vanilla,1
Magrath,9,164,strawberry,2
Falher,25,5,strawberry,3
Chestermere,24,74,banana,1
Athabasca,28,87,banana,3
Bashaw,1,30,banana,1
Valleyview,22,86,chocolate,3
Lacombe,4,61,vanilla,2
Vermilion,5,90,chocolate,1
Girouxville,16,148,strawberry,1
Mundare,29,152,chocolate,1
Ryley,16,43,banana,2
Mannville,1,201,chocolate,2
Olds,20,137,banana,1
Falher,21,50,chocolate,2
Mundare,24,49,strawberry,2
Vermilion,27,4,vanilla,1
Chestermere,26,108,chocolate,1
Girouxville,24,21,banana,1
Delburne,11,3,strawberry,2
Myrnam,23,38,strawberry,1
Cardston,26,27,strawberry,2
Lacombe,16,90,vanilla,3
Vermilion,4,132,vanilla,1
Myrnam,24,49,strawberry,1
Eckville,16,35,chocolate,2
Bruderheim,7,80,chocolate,2
Bashaw,14,1,chocolate,1
Lomond,28,9,strawberry,2
Athabasca,14,147,strawberry,1
Athabasca,10,128,banana,3
Bruderheim,14,15,vanilla,2
Athabasca,13,103,vanilla,2
Bashaw,17,91,chocolate,3
Mannville,9,64,vanilla,2
Delburne,22,126,banana,1
Mundare,4,49,strawberry,2
Eckville,30,130,chocolate,3
Lamont,24,98,banana,2
Mundare,9,178,chocolate,3
Mundare,3,136,strawberry,2
Olds,17,54,strawberry,2
Eckville,30,165,banana,2
Chestermere,9,126,chocolate,2
Mundare,25,58,strawberry,1
Mundare,29,158,banana,3
Eckville,15,52,chocolate,1
Mannville,23,170,vanilla,1
Lamont,1,98,vanilla,3
Olds,11,67,chocolate,2
Valleyview,28,16,strawberry,2
Cardston,1,16,strawberry,2
Cardston,15,87,chocolate,1
Girouxville,15,56,banana,2
Myrnam,9,78,strawberry,1
Girouxville,12,214,vanilla,1
Lomond,15,24,banana,1
Girouxville,20,221,vanilla,1
Delburne,27,24,strawberry,2
Lomond,23,31,strawberry,2
Bruderheim,24,145,vanilla,3
Lomond,2,36,strawberry,1
Mannville,27,14,strawberry,2
Bashaw,28,34,chocolate,2
Girouxville,8,102,vanilla,2
Magrath,4,91,banana,1
Athabasca,23,14,chocolate,1
Delburne,7,118,vanilla,3
Bashaw,10,133,vanilla,2
Cardston,24,65,strawberry,1
Myrnam,26,20,vanilla,1
Lacombe,25,106,strawberry,1
Myrnam,19,65,strawberry,1
Magrath,27,42,strawberry,3
Mannville,7,100,chocolate,2
Magrath,19,82,chocolate,1
Lomond,25,7,chocolate,2
Cardston,16,2,strawberry,2
Eckville,21,178,vanilla,2
Cardston,22,62,chocolate,2
Olds,25,129,strawberry,2
Girouxville,17,62,banana,1
Chestermere,9,196,vanilla,1
Lomond,10,44,vanilla,2
Cardston,1,14,vanilla,1
Magrath,6,161,strawberry,2
Chestermere,19,10,chocolate,1
Bashaw,13,55,chocolate,1
Bruderheim,5,70,chocolate,2
Mannville,26,193,vanilla,1
Mannville,7,42,vanilla,3
Olds,12,37,vanilla,2
Delburne,12,77,strawberry,3
Bruderheim,3,139,chocolate,1
Myrnam,1,46,strawberry,2
Valleyview,4,119,chocolate,3
Olds,3,71,vanilla,1
Lacombe,1,80,chocolate,3
Mundare,16,78,vanilla,1
Magrath,25,147,vanilla,3
Athabasca,3,155,strawberry,2
Magrath,21,45,chocolate,2
Mannville,28,20,strawberry,2
Bruderheim,24,85,chocolate,2
Olds,24,58,banana,2
Mannville,27,47,chocolate,1
Bruderheim,7,143,chocolate,1
Mundare,13,33,vanilla,2
Mundare,1,128,chocolate,2
Bruderheim,3,57,strawberry,2
Lomond,17,185,strawberry,1
Eckville,2,17,vanilla,3
Vermilion,29,2,strawberry,2
Delburne,13,145,strawberry,2
Lacombe,1,95,vanilla,1
Bashaw,11,183,vanilla,1
Myrnam,9,56,chocolate,2
Delburne,21,122,chocolate,2
Eckville,21,53,chocolate,2
Chestermere,8,87,strawberry,1
Eckville,27,98,chocolate,2
Chestermere,22,100,strawberry,2
Mundare,28,46,strawberry,1
Chestermere,19,151,strawberry,3
Girouxville,2,13,strawberry,1
Olds,5,91,chocolate,2
Mundare,21,145,chocolate,2
Eckville,27,124,vanilla,2
Mannville,13,138,strawberry,2
Ryley,6,82,vanilla,1
Girouxville,7,218,banana,2
Olds,9,31,strawberry,2
Valleyview,16,80,strawberry,2
Magrath,4,17,vanilla,1
Chestermere,28,117,vanilla,2
Lacombe,9,80,banana,1
Mundare,3,191,banana,1
Delburne,12,39,chocolate,3
Athabasca,1,166,strawberry,1
Lacombe,12,76,chocolate,2
Vermilion,24,45,vanilla,2
Chestermere,13,15,chocolate,2
Lomond,13,8,strawberry,2
Vermilion,24,3,vanilla,2
Athabasca,20,89,strawberry,2
Falher,30,85,strawberry,3
Delburne,8,84,vanilla,1
Myrnam,9,90,chocolate,3
Eckville,11,39,banana,1
Bashaw,13,164,chocolate,2
Vermilion,7,84,strawberry,2
Athabasca,28,81,vanilla,3
Magrath,1,50,vanilla,3
Delburne,19,44,vanilla,2
Chestermere,28,86,vanilla,2
Ryley,28,21,vanilla,1
Olds,18,101,vanilla,1
Valleyview,5,194,strawberry,2
Chestermere,9,112,banana,3
Chestermere,4,68,banana,1
Delburne,25,77,banana,1
Athabasca,1,61,banana,2
Athabasca,28,49,banana,2
Eckville,14,90,banana,2
Ryley,17,5,chocolate,2
Falher,2,45,strawberry,1
Myrnam,11,31,chocolate,3
Vermilion,28,80,chocolate,2
Bashaw,9,174,strawberry,2
Falher,11,48,strawberry,3
Mundare,3,69,strawberry,1
Falher,15,18,strawberry,2
Myrnam,17,77,vanilla,3
Girouxville,30,47,banana,3
Bashaw,4,56,chocolate,2
Chestermere,28,4,banana,2
Bashaw,23,131,banana,3
Bashaw,4,138,banana,1
Olds,26,74,banana,2
Eckville,7,45,vanilla,2
Myrnam,12,118,vanilla,2
Olds,20,103,strawberry,3
Eckville,12,52,strawberry,2
Ryley,19,80,chocolate,1
Lomond,4,95,chocolate,1
Chestermere,13,63,chocolate,3
Myrnam,2,102,chocolate,2
Ryley,29,28,chocolate,2
Mundare,18,48,vanilla,1
Athabasca,14,71,chocolate,2
Bashaw,16,80,banana,2
Bashaw,21,65,strawberry,2
Myrnam,7,7,chocolate,3
Lomond,28,132,chocolate,3
Lacombe,20,121,chocolate,1
Eckville,19,119,strawberry,1
Lomond,4,176,chocolate,1
Myrnam,11,13,vanilla,1
Valleyview,19,30,vanilla,2
Girouxville,25,136,vanilla,2
Mundare,8,101,strawberry,2
Bashaw,21,177,banana,2
Myrnam,18,133,chocolate,1
Mundare,13,54,vanilla,2
Mannville,5,213,vanilla,1
Mundare,9,124,strawberry,3
Ryley,6,42,chocolate,2
Chestermere,6,88,chocolate,2
Olds,3,11,banana,2
Lomond,29,85,vanilla,2
Cardston,11,52,chocolate,2
Myrnam,6,17,chocolate,2
Myrnam,5,118,strawberry,2
Myrnam,29,151,banana,3
Eckville,26,28,strawberry,2
Ryley,18,87,banana,1
Cardston,8,145,chocolate,2
Valleyview,13,55,vanilla,1
Vermilion,8,75,vanilla,2
Eckville,27,64,banana,2
Magrath,29,29,chocolate,2
Olds,12,51,banana,2
Valleyview,1,101,strawberry,2
Bashaw,10,30,vanilla,1
Athabasca,19,29,strawberry,1
Bruderheim,8,73,chocolate,2
Cardston,26,51,chocolate,3
Chestermere,18,62,vanilla,2
Athabasca,21,120,banana,1
Ryley,1,143,vanilla,1
Girouxville,16,88,strawberry,2
Athabasca,16,6,vanilla,1
Eckville,19,65,vanilla,1
Athabasca,23,121,strawberry,2
Olds,24,92,banana,2
Eckville,21,174,strawberry,2
Bashaw,22,84,strawberry,2
Lomond,27,84,strawberry,1
Olds,3,77,chocolate,2
Myrnam,6,34,banana,3
Girouxville,13,120,strawberry,3
Lacombe,19,8,vanilla,2
Vermilion,4,47,chocolate,1
Olds,3,57,chocolate,3
Athabasca,4,2,chocolate,3
Lamont,16,21,chocolate,2
Valleyview,14,90,banana,2
Eckville,3,63,chocolate,2
Ryley,26,19,strawberry,2
Bruderheim,30,4,banana,1
Cardston,25,150,banana,1
Myrnam,4,68,chocolate,1
Bashaw,11,44,chocolate,2
Mundare,17,102,banana,2
Magrath,22,120,vanilla,2
Mannville,7,22,banana,2
Chestermere,22,147,strawberry,2
Magrath,22,50,vanilla,1
Delburne,2,17,strawberry,3
Bashaw,3,9,vanilla,2
Chestermere,30,15,chocolate,1
Chestermere,8,29,vanilla,1
Bashaw,5,198,vanilla,1
Delburne,17,47,vanilla,2
Cardston,8,141,vanilla,2
Ryley,29,134,banana,3
Ryley,15,57,vanilla,1
Cardston,20,50,vanilla,2
Olds,3,109,chocolate,1
Eckville,3,94,vanilla,1
Olds,5,75,vanilla,3
Bashaw,6,161,vanilla,2
Olds,1,12,banana,1
Mannville,7,16,vanilla,2
Chestermere,4,70,chocolate,3
Eckville,26,127,chocolate,2
Mannville,18,124,vanilla,2
Mundare,16,195,vanilla,2
Bruderheim,8,161,chocolate,2
Girouxville,9,65,banana,2
Mannville,13,160,chocolate,3
Eckville,1,32,chocolate,3
Chestermere,13,33,chocolate,2
Magrath,6,40,strawberry,1
Mannville,3,122,vanilla,1
Falher,7,60,banana,1
Valleyview,14,127,banana,2
Mundare,3,119,vanilla,2
Athabasca,9,36,chocolate,2
Olds,23,83,strawberry,2
Bashaw,21,41,vanilla,2
Girouxville,23,71,vanilla,1
Cardston,2,79,vanilla,1
Mundare,30,228,strawberry,2
Bashaw,27,164,vanilla,1
Olds,22,73,vanilla,2
Girouxville,25,73,chocolate,3
Mannville,3,235,banana,2
Bashaw,30,15,vanilla,1
Chestermere,3,47,chocolate,2
Lamont,2,145,chocolate,2
Bruderheim,3,68,vanilla,1
Olds,29,6,strawberry,2
Chestermere,8,54,chocolate,1
Mundare,4,113,strawberry,3
Eckville,10,33,chocolate,2
Vermilion,8,56,chocolate,2
Olds,30,9,banana,2
Lacombe,25,4,strawberry,1
Cardston,13,72,strawberry,2
Bruderheim,8,134,strawberry,1
Cardston,22,15,vanilla,1
Girouxville,29,50,chocolate,1
Cardston,20,96,banana,3
Myrnam,17,48,vanilla,1
Eckville,3,5,strawberry,2
Eckville,4,31,vanilla,2
Mannville,23,166,vanilla,1
Vermilion,14,94,chocolate,3
Ryley,11,12,vanilla,1
Chestermere,14,93,chocolate,2
Mannville,12,8,strawberry,2
Delburne,8,23,banana,3
Bruderheim,26,60,chocolate,2
Delburne,20,155,strawberry,3
Girouxville,19,148,banana,2
Lacombe,18,87,strawberry,1
Myrnam,24,63,chocolate,1
Olds,20,59,chocolate,1
Bashaw,18,158,vanilla,2
Bashaw,25,175,chocolate,3
Girouxville,22,64,banana,2
Valleyview,13,112,chocolate,2
Magrath,9,118,strawberry,2
Eckville,13,38,strawberry,1
Cardston,5,127,banana,2
