LOCATION,DAY,ORDER_NUMBER,TYPE
Girouxville,21,32,takeout
Cardston,11,105,drive through
Myrnam,1,122,drive through
Magrath,30,91,takeout
Delburne,13,135,drive through
Mundare,10,72,drive through
Athabasca,25,135,drive through
Falher,29,14,in store
Magrath,6,29,drive through
Magrath,23,43,takeout
Lomond,19,79,takeout
Bashaw,4,172,takeout
Myrnam,4,134,in store
Mannville,12,64,in store
Lamont,5,12,takeout
Mundare,10,245,in store
Magrath,13,33,drive through
Girouxville,17,84,drive through
Valleyview,18,147,drive through
Magrath,30,30,drive through
Myrnam,24,71,takeout
Eckville,27,33,in store
Ryley,14,152,takeout
Lamont,17,92,drive through
Lacombe,10,13,takeout
Olds,20,118,drive through
Mannville,15,80,in store
Mundare,10,89,drive through
Valleyview,2,36,drive through
Girouxville,22,92,drive through
Magrath,25,140,takeout
Bashaw,23,126,in store
Eckville,25,21,takeout
Olds,29,134,in store
Delburne,24,6,drive through
Delburne,21,106,drive through
Valleyview,15,157,in store
Lacombe,8,54,in store
Girouxville,22,4,takeout
Falher,3,39,takeout
Cardston,16,114,in store
Cardston,16,54,drive through
Athabasca,12,2,takeout
Ryley,6,35,drive through
Falher,25,62,drive through
Lomond,13,8,in store
Lomond,5,108,drive through
Mundare,27,154,drive through
Bashaw,13,89,in store
Eckville,23,129,takeout
Myrnam,5,111,in store
Bashaw,16,59,drive through
Olds,11,27,in store
Mannville,9,35,in store
Valleyview,14,175,takeout
Cardston,30,65,drive through
Bashaw,21,63,in store
Bashaw,6,122,drive through
Lomond,21,41,in store
Eckville,15,132,in store
Bashaw,26,110,drive through
Ryley,23,1,takeout
Ryley,18,84,in store
Chestermere,11,9,drive through
Ryley,2,6,in store
Mannville,14,106,takeout
Mundare,11,245,in store
Girouxville,4,76,in store
Girouxville,20,57,takeout
Bashaw,27,51,takeout
Mannville,12,94,in store
Bruderheim,2,110,in store
Lacombe,20,152,in store
Delburne,22,27,drive through
Girouxville,25,13,takeout
Mundare,22,41,drive through
Bashaw,30,205,takeout
Bruderheim,3,89,drive through
Myrnam,5,93,in store
Chestermere,28,32,drive through
Chestermere,21,113,takeout
Athabasca,7,73,in store
Lomond,17,49,drive through
Lacombe,29,155,drive through
Eckville,8,168,in store
Lamont,19,53,takeout
Eckville,27,23,takeout
Girouxville,16,37,takeout
Bashaw,6,50,in store
Ryley,25,81,drive through
Athabasca,28,71,takeout
Bashaw,25,173,takeout
Lamont,20,110,in store
Lamont,4,71,drive through
Girouxville,7,219,drive through
Lomond,27,131,takeout
Girouxville,15,75,drive through
Bashaw,18,162,drive through
Delburne,23,113,in store
Bruderheim,5,58,takeout
Chestermere,2,58,drive through
Olds,15,56,in store
Olds,17,43,drive through
Bashaw,1,158,takeout
Girouxville,7,192,in store
Athabasca,29,6,drive through
Lamont,26,62,takeout
Athabasca,2,128,takeout
Mundare,12,33,takeout
Myrnam,12,76,in store
Chestermere,20,37,in store
Eckville,12,120,takeout
Mundare,17,92,takeout
Athabasca,25,24,drive through
Bashaw,6,125,in store
Bashaw,28,1,in store
Delburne,26,84,drive through
Bashaw,7,215,in store
Chestermere,2,40,takeout
Vermilion,7,121,drive through
Mannville,1,66,in store
Eckville,25,100,in store
Falher,17,61,drive through
Mundare,13,102,takeout
Girouxville,5,129,takeout
Chestermere,8,8,drive through
Athabasca,13,61,in store
Lacombe,15,81,takeout
Lomond,10,21,takeout
Chestermere,6,117,in store
Girouxville,16,120,takeout
Mannville,8,197,in store
Chestermere,22,49,drive through
Mannville,15,119,drive through
Bashaw,3,35,in store
Bashaw,6,75,takeout
Lamont,17,30,drive through
Lomond,11,80,takeout
Eckville,28,92,in store
Mannville,3,56,drive through
Olds,9,141,drive through
Girouxville,27,191,drive through
Valleyview,30,105,drive through
Bashaw,28,148,drive through
Mundare,20,127,in store
Ryley,16,16,drive through
Bashaw,12,56,drive through
Athabasca,20,81,drive through
Bruderheim,7,43,takeout
Magrath,25,141,takeout
Lamont,5,52,in store
Mannville,20,51,takeout
Mundare,10,102,takeout
Bashaw,7,123,in store
Ryley,18,90,in store
Ryley,5,48,drive through
Lamont,19,66,takeout
Mannville,12,137,in store
Bruderheim,9,27,drive through
Olds,28,52,drive through
Athabasca,29,48,drive through
Mannville,7,45,drive through
Cardston,27,142,takeout
Cardston,22,20,in store
Mundare,9,57,takeout
Chestermere,7,15,in store
Chestermere,9,161,takeout
Myrnam,14,43,takeout
Bashaw,20,78,in store
Valleyview,25,121,drive through
Girouxville,3,127,in store
Girouxville,20,82,drive through
Delburne,7,8,in store
Mannville,16,28,takeout
Valleyview,14,134,in store
Eckville,30,98,drive through
Lomond,20,202,drive through
Olds,1,23,takeout
Magrath,17,61,takeout
Magrath,29,108,in store
Chestermere,10,25,takeout
Cardston,21,80,in store
Magrath,16,72,drive through
Athabasca,12,87,drive through
Lomond,19,154,drive through
Mannville,3,222,drive through
Girouxville,22,213,takeout
Mannville,2,119,in store
Bruderheim,19,31,takeout
Bruderheim,7,109,takeout
Magrath,26,71,drive through
Chestermere,13,99,in store
Cardston,20,126,drive through
Girouxville,28,20,drive through
Eckville,19,105,takeout
Bashaw,26,91,in store
Falher,16,4,in store
Lamont,11,23,in store
Lomond,7,75,takeout
Olds,27,152,in store
Vermilion,3,14,drive through
Mundare,12,140,in store
Valleyview,26,86,takeout
Lomond,26,4,takeout
Delburne,26,128,in store
Mannville,29,121,takeout
Falher,11,7,drive through
Mannville,26,117,drive through
Chestermere,9,40,drive through
Myrnam,29,34,takeout
Lomond,17,210,takeout
Lomond,10,93,drive through
Lacombe,29,55,takeout
Ryley,22,44,in store
Lomond,12,90,drive through
Eckville,6,3,in store
Girouxville,22,170,drive through
Mundare,16,44,drive through
Bashaw,5,19,drive through
Mundare,12,121,in store
Delburne,24,81,in store
Lacombe,26,12,takeout
Valleyview,8,88,drive through
Girouxville,25,41,drive through
Valleyview,1,3,takeout
Eckville,8,167,in store
Chestermere,11,129,in store
Falher,4,36,drive through
Mundare,11,115,in store
Valleyview,10,175,in store
Bruderheim,16,51,drive through
Myrnam,23,85,drive through
Bruderheim,8,63,drive through
Eckville,9,16,in store
Falher,7,56,takeout
Vermilion,21,3,drive through
Chestermere,2,38,drive through
Lomond,7,126,in store
Lacombe,14,45,in store
Myrnam,9,100,takeout
Mundare,20,179,takeout
Ryley,12,32,in store
Chestermere,14,17,drive through
Olds,18,175,drive through
Eckville,29,9,takeout
Falher,3,100,takeout
Lomond,21,50,takeout
Mannville,10,42,in store
Bashaw,9,98,takeout
Delburne,15,28,drive through
Vermilion,18,37,takeout
Chestermere,28,33,in store
Mundare,10,13,in store
Cardston,18,28,drive through
Lacombe,22,64,drive through
Falher,5,110,drive through
Lamont,16,67,in store
Cardston,21,148,takeout
Girouxville,5,230,takeout
Valleyview,15,198,drive through
Valleyview,9,182,drive through
Bashaw,6,32,in store
Girouxville,1,190,takeout
Bruderheim,20,49,in store
Chestermere,22,116,in store
Bruderheim,8,107,takeout
Magrath,28,39,in store
Delburne,10,120,in store
Cardston,3,72,drive through
Lomond,27,54,takeout
Bruderheim,16,43,drive through
Lacombe,8,97,drive through
Lamont,11,35,takeout
Cardston,13,35,takeout
Mundare,16,91,takeout
Bashaw,16,129,drive through
Vermilion,16,34,in store
Magrath,30,56,in store
Bashaw,3,70,drive through
Bruderheim,26,66,drive through
Lomond,4,167,drive through
Myrnam,19,86,in store
Lacombe,5,34,takeout
Bashaw,30,141,in store
Lacombe,22,110,takeout
Falher,30,87,in store
Eckville,30,66,takeout
Magrath,28,99,in store
Chestermere,22,119,in store
Girouxville,3,41,in store
Bashaw,7,56,drive through
Athabasca,11,97,in store
Mundare,7,67,drive through
Bashaw,16,49,drive through
Eckville,1,134,drive through
Bruderheim,9,10,takeout
Cardston,5,139,drive through
Ryley,19,76,in store
Athabasca,20,41,takeout
Girouxville,7,157,takeout
Valleyview,12,131,takeout
Girouxville,8,20,in store
Lomond,16,58,takeout
Eckville,25,84,in store
Mundare,17,119,drive through
Lacombe,20,31,takeout
Magrath,16,50,in store
Bashaw,11,16,takeout
Eckville,19,55,takeout
Bashaw,6,51,takeout
Mannville,21,54,in store
Mannville,30,164,drive through
Delburne,22,114,drive through
Vermilion,3,66,in store
Ryley,25,100,in store
Mundare,16,239,takeout
Ryley,16,42,drive through
Lomond,10,53,takeout
Bashaw,23,65,in store
Girouxville,14,137,in store
Eckville,25,63,in store
Bruderheim,12,104,in store
Bashaw,16,143,drive through
Vermilion,25,68,in store
Athabasca,24,95,takeout
Falher,9,26,drive through
Ryley,15,42,drive through
Olds,4,11,in store
Cardston,1,81,takeout
Lamont,7,38,in store
Eckville,8,75,drive through
Cardston,25,84,in store
Mundare,9,139,takeout
Delburne,10,41,in store
Vermilion,1,22,in store
Lomond,8,38,drive through
Bashaw,14,95,drive through
Mundare,6,95,takeout
Chestermere,14,57,drive through
Girouxville,5,32,in store
Falher,11,14,drive through
Ryley,9,81,in store
Ryley,30,47,takeout
Girouxville,21,85,drive through
Eckville,12,109,drive through
Valleyview,6,102,in store
Lomond,3,73,takeout
Magrath,23,74,takeout
Cardston,3,32,drive through
Myrnam,20,33,in store
Valleyview,18,68,takeout
Olds,20,53,takeout
Delburne,1,1,in store
Myrnam,9,158,drive through
Valleyview,16,83,takeout
Eckville,22,108,takeout
Bashaw,25,27,in store
Ryley,11,26,in store
Vermilion,5,38,takeout
Vermilion,15,83,takeout
Eckville,27,5,in store
Chestermere,8,106,takeout
Mundare,30,170,in store
Lomond,25,70,takeout
Valleyview,4,138,in store
Lacombe,7,73,in store
Eckville,21,139,in store
Magrath,4,149,takeout
Girouxville,1,147,drive through
Bashaw,13,172,takeout
Athabasca,23,37,in store
Myrnam,2,1,in store
Olds,30,111,in store
Myrnam,17,106,in store
Lomond,8,111,in store
Cardston,19,84,drive through
Athabasca,20,92,takeout
Lacombe,5,40,takeout
Myrnam,6,12,takeout
Athabasca,6,47,in store
Delburne,23,50,takeout
Mannville,1,181,takeout
Mundare,24,147,takeout
Chestermere,27,49,in store
Myrnam,17,20,drive through
Athabasca,18,176,drive through
Ryley,18,61,in store
Girouxville,11,59,in store
Athabasca,27,43,drive through
Lomond,17,39,in store
Valleyview,13,79,in store
Mannville,4,60,takeout
Myrnam,14,39,in store
Falher,23,56,takeout
Bashaw,7,68,in store
Mundare,24,148,drive through
Lamont,6,65,takeout
Mundare,4,65,takeout
Girouxville,17,55,takeout
Valleyview,20,75,in store
Lomond,22,38,takeout
Lacombe,29,58,drive through
Vermilion,4,165,takeout
Lamont,12,138,drive through
Eckville,19,112,in store
Bashaw,4,35,drive through
Mundare,9,52,in store
Falher,28,136,drive through
Valleyview,22,114,takeout
Bashaw,25,179,takeout
Falher,26,54,in store
Magrath,14,39,in store
Lacombe,20,6,takeout
Eckville,15,54,in store
Vermilion,26,87,drive through
Valleyview,16,4,takeout
Mundare,13,57,drive through
Lacombe,15,93,in store
Magrath,13,39,in store
Ryley,4,38,in store
Lacombe,2,81,takeout
Bruderheim,11,4,in store
Ryley,1,91,takeout
Lacombe,9,110,in store
Bashaw,15,42,takeout
Mannville,14,177,drive through
Mundare,3,106,in store
Vermilion,12,94,drive through
Girouxville,27,13,in store
Athabasca,27,25,takeout
Vermilion,10,96,drive through
Cardston,20,34,takeout
Cardston,17,113,in store
Bashaw,29,94,takeout
Eckville,28,126,takeout
Magrath,20,11,in store
Chestermere,4,5,takeout
Ryley,10,33,in store
Mundare,20,147,in store
Ryley,11,18,takeout
Mannville,23,52,takeout
Lomond,4,105,in store
Girouxville,15,99,drive through
Mundare,30,12,takeout
Bashaw,27,118,drive through
Girouxville,1,48,drive through
Lamont,1,21,in store
Vermilion,24,89,drive through
Lomond,23,47,takeout
Girouxville,8,222,drive through
Mundare,23,25,in store
Ryley,20,41,in store
Bashaw,11,63,in store
Bashaw,11,74,takeout
Mundare,3,107,drive through
Myrnam,2,63,takeout
Cardston,21,68,takeout
Lomond,6,36,drive through
Olds,4,33,in store
Delburne,11,49,in store
Lamont,29,12,takeout
Mundare,8,57,takeout
Athabasca,18,43,drive through
Mundare,3,56,drive through
Athabasca,18,107,in store
Girouxville,27,150,in store
Magrath,21,23,takeout
Lacombe,27,9,drive through
Lacombe,16,4,takeout
Vermilion,21,44,takeout
Eckville,30,115,takeout
Falher,25,2,takeout
Lamont,13,68,takeout
Bashaw,20,191,drive through
Girouxville,29,131,in store
Mundare,22,75,drive through
Falher,28,146,takeout
Chestermere,20,26,in store
Cardston,17,155,takeout
Magrath,21,62,drive through
Olds,8,25,drive through
Delburne,1,158,in store
Girouxville,1,83,drive through
Ryley,7,9,drive through
Magrath,25,50,drive through
Mannville,1,131,in store
Lomond,15,104,drive through
Delburne,30,31,drive through
Myrnam,12,128,in store
Mundare,1,11,drive through
Bruderheim,25,43,drive through
Lomond,7,35,in store
Mundare,24,113,takeout
Myrnam,17,9,takeout
Bashaw,20,172,drive through
Delburne,25,88,in store
Mundare,7,59,takeout
Mannville,10,120,in store
Lacombe,7,24,takeout
Cardston,25,123,drive through
Cardston,8,141,in store
Myrnam,16,13,drive through
Ryley,18,109,drive through
Mannville,12,73,takeout
Valleyview,4,112,drive through
Chestermere,16,43,drive through
Chestermere,28,159,drive through
Myrnam,4,130,takeout
Eckville,2,33,drive through
Cardston,18,78,drive through
Falher,30,63,takeout
Eckville,25,129,in store
Athabasca,19,56,takeout
Ryley,20,39,takeout
Delburne,18,10,takeout
Athabasca,5,80,in store
Valleyview,5,87,takeout
Magrath,9,17,takeout
Lamont,10,46,takeout
Lacombe,12,43,drive through
Myrnam,10,92,takeout
Delburne,19,63,in store
Myrnam,18,144,takeout
Mannville,11,117,in store
Valleyview,16,106,takeout
Myrnam,26,93,takeout
Bashaw,2,74,drive through
Athabasca,15,22,in store
Cardston,28,115,in store
Cardston,22,86,takeout
Lomond,28,18,in store
Eckville,2,25,in store
Valleyview,23,37,drive through
Eckville,15,30,drive through
Lomond,20,110,drive through
Mundare,5,129,takeout
Cardston,17,71,drive through
Chestermere,8,104,takeout
Bashaw,24,66,drive through
Athabasca,10,90,in store
Mundare,13,59,in store
Lomond,27,78,in store
Bashaw,2,55,drive through
Mannville,14,125,takeout
Chestermere,22,168,takeout
Delburne,9,100,drive through
Cardston,29,46,takeout
Bashaw,1,75,in store
Cardston,2,54,takeout
Chestermere,12,107,drive through
Myrnam,14,46,takeout
Cardston,8,142,drive through
Vermilion,5,3,takeout
Vermilion,21,19,takeout
Lacombe,18,88,drive through
Eckville,21,75,drive through
Cardston,18,24,in store
Eckville,3,74,in store
Bashaw,19,179,takeout
Lacombe,23,7,drive through
Valleyview,19,46,takeout
Lamont,2,95,in store
Eckville,3,2,in store
Girouxville,24,42,drive through
Athabasca,17,83,drive through
Eckville,18,133,drive through
Valleyview,19,44,takeout
Bruderheim,9,155,in store
Ryley,26,92,in store
Girouxville,14,29,takeout
Vermilion,6,48,takeout
Bashaw,19,27,in store
Lamont,13,34,in store
Athabasca,14,7,takeout
Chestermere,24,31,drive through
Athabasca,8,99,takeout
Girouxville,23,51,takeout
Girouxville,22,153,takeout
Mundare,30,59,drive through
Magrath,30,5,drive through
Lomond,11,188,drive through
Mundare,11,167,drive through
Ryley,6,79,in store
Valleyview,19,20,takeout
Athabasca,21,184,in store
Lacombe,3,123,drive through
Myrnam,6,107,in store
Delburne,24,109,takeout
Girouxville,2,11,in store
Athabasca,3,9,in store
Athabasca,24,86,takeout
Cardston,2,57,takeout
Bashaw,18,15,takeout
Lomond,7,70,drive through
Ryley,12,76,in store
Mannville,25,87,takeout
Cardston,19,16,drive through
Lacombe,16,100,takeout
Athabasca,25,40,drive through
Chestermere,15,15,takeout
Vermilion,27,44,drive through
Cardston,18,31,takeout
Olds,25,131,drive through
Lamont,16,56,in store
Olds,18,103,in store
Valleyview,15,143,drive through
Bashaw,23,21,drive through
Lomond,5,122,takeout
Ryley,27,107,drive through
Athabasca,18,10,in store
Athabasca,27,72,drive through
Cardston,21,183,takeout
Vermilion,28,122,takeout
Lomond,14,20,in store
Lamont,13,14,in store
Mannville,29,105,takeout
Girouxville,17,94,in store
Myrnam,4,71,in store
Chestermere,12,23,drive through
Valleyview,4,28,takeout
Eckville,1,142,in store
Valleyview,28,29,drive through
Girouxville,8,157,drive through
Eckville,7,11,takeout
Magrath,7,26,drive through
Lomond,17,135,in store
Athabasca,17,17,drive through
Myrnam,6,112,takeout
Ryley,5,57,drive through
Girouxville,25,162,takeout
Bashaw,8,231,in store
Girouxville,27,185,drive through
Myrnam,12,86,drive through
Chestermere,20,189,in store
Falher,9,23,in store
Chestermere,16,131,drive through
Mannville,11,111,takeout
Girouxville,26,93,drive through
Valleyview,2,21,in store
Delburne,1,117,drive through
Cardston,24,32,in store
Mannville,20,137,in store
Mannville,8,167,takeout
Ryley,26,22,drive through
Ryley,25,122,takeout
Magrath,21,80,takeout
Magrath,21,10,takeout
Lacombe,1,101,in store
Lamont,30,13,takeout
Girouxville,28,37,drive through
Vermilion,8,8,takeout
Lomond,20,211,drive through
Mannville,4,39,drive through
Myrnam,6,102,takeout
Athabasca,22,59,takeout
Bashaw,11,28,drive through
Myrnam,12,45,takeout
Ryley,24,55,takeout
Girouxville,2,39,in store
Delburne,30,23,drive through
Mannville,9,172,in store
Vermilion,8,70,takeout
Falher,15,66,in store
Bashaw,11,161,drive through
Vermilion,17,42,in store
Valleyview,5,103,in store
Girouxville,28,86,takeout
Ryley,3,99,in store
Olds,8,127,takeout
Lomond,17,196,in store
Ryley,22,52,takeout
Falher,21,44,drive through
Mannville,21,65,drive through
Bashaw,22,25,in store
Olds,26,5,takeout
Mannville,18,158,takeout
Bruderheim,28,156,takeout
Magrath,29,64,in store
Girouxville,16,56,drive through
Olds,30,161,takeout
Bashaw,19,194,in store
Athabasca,30,195,takeout
Bashaw,12,64,drive through
Athabasca,7,11,in store
Vermilion,2,67,in store
Lamont,28,9,takeout
Lacombe,14,34,takeout
Valleyview,2,52,in store
Valleyview,6,89,takeout
Bruderheim,3,76,takeout
Girouxville,22,203,drive through
Mundare,25,227,drive through
Magrath,25,45,in store
Valleyview,4,73,in store
Valleyview,15,207,drive through
Chestermere,28,49,takeout
Magrath,29,131,drive through
Bashaw,16,99,takeout
Ryley,1,66,drive through
Girouxville,28,117,drive through
Valleyview,26,147,takeout
Valleyview,12,66,takeout
Lacombe,9,23,takeout
Eckville,18,74,drive through
Cardston,10,44,takeout
Lamont,13,130,drive through
Valleyview,6,67,drive through
Olds,25,21,in store
Girouxville,20,193,in store
Lomond,29,26,in store
Mundare,26,124,drive through
Bruderheim,9,154,drive through
Delburne,20,86,takeout
Bruderheim,12,129,in store
Mannville,9,123,drive through
Eckville,30,75,drive through
Eckville,24,70,takeout
Mundare,1,184,takeout
Mannville,20,13,takeout
Valleyview,16,54,takeout
Chestermere,17,19,in store
Bruderheim,8,20,in store
Myrnam,26,25,drive through
Lomond,16,57,takeout
Delburne,22,55,drive through
Vermilion,25,89,in store
Vermilion,27,57,drive through
Delburne,25,122,in store
Girouxville,27,171,takeout
Delburne,29,30,in store
Mundare,6,40,drive through
Athabasca,3,169,takeout
Magrath,1,6,drive through
Olds,1,14,takeout
Bashaw,20,112,drive through
Bruderheim,19,93,drive through
Olds,18,3,drive through
Magrath,12,139,drive through
Delburne,20,10,takeout
Eckville,27,42,takeout
Valleyview,21,138,drive through
Valleyview,26,43,in store
Vermilion,10,19,takeout
Delburne,9,26,in store
Bashaw,8,4,in store
Delburne,25,13,in store
Girouxville,15,23,drive through
Valleyview,14,139,in store
Girouxville,1,172,drive through
Ryley,16,45,in store
Ryley,2,28,takeout
Delburne,10,123,drive through
Vermilion,21,72,drive through
Lomond,27,101,drive through
Bruderheim,30,74,takeout
Cardston,21,22,in store
Bashaw,9,1,in store
Athabasca,22,113,drive through
Olds,23,30,takeout
Bashaw,6,90,takeout
Vermilion,21,74,takeout
Olds,17,1,in store
Lomond,23,64,in store
Bashaw,27,40,in store
Mannville,25,95,drive through
Mannville,10,146,in store
Girouxville,8,221,drive through
Falher,22,19,drive through
Lomond,3,16,takeout
Bashaw,15,147,drive through
Magrath,24,48,drive through
Lomond,25,18,in store
Chestermere,9,51,drive through
Falher,10,45,drive through
Vermilion,12,44,in store
Mannville,30,114,drive through
Olds,10,72,drive through
Girouxville,30,181,in store
Girouxville,8,8,drive through
Bruderheim,21,83,in store
Athabasca,25,83,takeout
Olds,30,136,drive through
Delburne,11,26,drive through
Lomond,13,72,in store
Delburne,6,73,takeout
Chestermere,16,102,in store
Eckville,26,4,takeout
Mannville,28,98,drive through
Chestermere,20,157,takeout
Delburne,12,78,in store
Falher,19,92,takeout
Chestermere,20,125,takeout
Lacombe,10,10,takeout
Ryley,27,83,drive through
Cardston,26,39,in store
Mundare,3,71,in store
Girouxville,12,147,in store
Lomond,10,153,in store
Lamont,13,80,in store
Chestermere,12,81,drive through
Girouxville,11,60,takeout
Falher,26,11,in store
Mundare,25,21,takeout
Magrath,20,85,takeout
Lamont,22,24,in store
Bruderheim,25,131,drive through
Olds,5,102,takeout
Cardston,15,29,drive through
Lomond,26,116,takeout
Bashaw,8,135,takeout
Chestermere,14,164,drive through
Magrath,17,56,takeout
Ryley,15,55,takeout
Valleyview,27,164,takeout
Athabasca,5,122,drive through
Chestermere,10,12,takeout
Girouxville,19,45,in store
Lomond,13,60,in store
Mannville,14,73,drive through
Olds,20,124,in store
Lamont,17,40,in store
Girouxville,6,40,drive through
Bruderheim,8,44,takeout
Cardston,27,107,in store
Bashaw,13,12,drive through
Delburne,25,59,drive through
Mundare,10,115,drive through
Bashaw,18,72,drive through
Mundare,1,208,in store
Mannville,28,62,in store
Chestermere,30,129,drive through
Bashaw,28,149,in store
Ryley,19,67,in store
Lamont,9,89,takeout
Olds,25,69,drive through
Bruderheim,28,3,drive through
Olds,22,36,in store
Girouxville,20,56,takeout
Athabasca,20,37,drive through
Valleyview,21,35,takeout
Bashaw,30,126,in store
Mannville,25,38,in store
Bashaw,25,25,in store
Lomond,9,136,takeout
Falher,3,2,in store
Bruderheim,20,2,drive through
Eckville,2,24,takeout
Girouxville,2,81,takeout
Vermilion,17,47,takeout
Mundare,22,53,in store
Chestermere,18,175,takeout
Olds,2,85,in store
Lacombe,5,24,in store
Valleyview,3,10,takeout
Eckville,23,167,drive through
Myrnam,11,68,in store
Mundare,2,151,drive through
Mannville,30,49,drive through
Lacombe,1,118,drive through
Olds,30,35,in store
Mundare,11,76,in store
Girouxville,16,194,takeout
Olds,22,2,in store
Valleyview,26,93,in store
Girouxville,20,215,takeout
Lacombe,12,34,drive through
Ryley,11,145,in store
Bashaw,2,69,drive through
Magrath,5,133,takeout
Cardston,15,91,in store
Girouxville,24,162,takeout
Magrath,16,74,drive through
Mundare,19,76,takeout
Delburne,18,96,in store
Mundare,12,95,in store
Myrnam,27,114,in store
Athabasca,22,161,in store
Valleyview,28,71,drive through
Magrath,12,16,drive through
Ryley,25,36,drive through
Mannville,8,31,takeout
Lacombe,26,43,in store
Bruderheim,14,42,takeout
Vermilion,27,91,drive through
Valleyview,15,60,takeout
Valleyview,4,123,in store
Girouxville,29,97,in store
Athabasca,11,100,takeout
Lamont,12,15,takeout
Bruderheim,8,10,drive through
Ryley,18,103,in store
Olds,9,74,takeout
Mannville,5,183,takeout
Valleyview,23,114,in store
Bruderheim,20,77,in store
